SeedWord,Word,Stem,Multiword,FirstDefinition,AdjectiveYesNo,SizeYesNo,OtherEntries,Relevant,Comment,OED_root_entry,OED_history,OED_history_simplified,RelatedTo,FirstAttestationItself,FirstAttestationRoot,Period
big,hefty,heft,no,"big, bulky",yes,yes,no,most_relevant,,heft,"A late derivative of heave v.; apparently analogical: compare weave , weft , thieve , theft , etc., also heft past participle = heaved . In sense 1, there was perhaps immediate association with heavy.",Germanic,none,1867,971,Old English
big,huge,huge,no,extremely large,yes,yes,no,most_relevant,,huge,"Middle English huge, hoge, apparently aphetic < Old French ahuge, ahoge, ahoege, in same sense, of unknown origin. It is, however, noteworthy that no connecting link in the form of huge in Old French, or ahuge in early Middle English, has as yet been found.",Old French,huge;tremendous,a1275/c1330,a1275/c1330,Middle English
big,hulking,hulk,no,massive,yes,yes,no,least_relevant,,,"Old English hulc, corresponding to medieval Latin hulcus, hulcum, hulca; Middle English hulke, corresponding to Old French hulke, hulque, houlque, hurque, hourque (feminine), a flat-bottomed transport-ship with prow and poop rounded (Godefroy); Middle Dutch hulc, hulke, modern Dutch hulk, Middle Low German hulk, holk, holke, Old High German holcho, Middle High German holche, hülk, modern German holk, hülk, hulk: a word of early diffusion among the maritime peoples of Western Europe, of uncertain origin, conjecturally referred to Greek ὁλκάς a ship that is towed, hence a ship of burthen, a trading vessel, merchantman.",uncertain,none,1699,?c1000/c1050,Old English
big,humongous,humong,no,very large,yes,yes,no,least_relevant,,humoungous,"Of uncertain origin: probably a factitious adjective coined on -ous suffix, influenced by hugeous adj., monstrous adj., and perhaps the stress-patterns of stupendous adj., tremendous adj., etc. Humongous, very large (a combination of huge and tremendous).",uncertain,huge;tremendous,1970,1970,Modern English
big,husky,NA,no,"deep, scratchy in sound",yes,no,yes,least_relevant,"other entry: ""big, burly""",,,,,,,
big,immense,immense,no,extremely large,yes,yes,no,most_relevant,,immense,"< French immense (1360 in Godefroy) = Italian immenso , Portuguese imenso , Spanish inmenso , < Latin immensus immeasurable, boundless, < im- (im- prefix2) + mensus, past participle of metīrī to measure.",Latin,none,c1450,c1450,Middle English
big,jumbo,jumbo,no,gigantic,yes,yes,no,least_relevant,,jumbo,"Of uncertain origin: possibly the second element in mumbo-jumbo n., a name applied (in English since the 18th cent.) to a West African divinity or bogy.",uncertain,none,1823,1823,Modern English
big,mammoth,mammoth,no,huge,yes,yes,no,least_relevant,,mammoth,"< Russian †mamant (1578 in mamantova kost′ mammoth's bone ; now mamont ), probably < Old Vogul *mēmoŋt earth-horn: compare Vogul mā earth (e.g. in mā-xar ‘earth-stag’, a name for the mammoth) and ou̯tə horn. The absence of -n- from the second syllable, shared by the current forms of the word in most Western European languages, is unexplained (a Russian form mam(m)ut is recorded only in 19th-cent. Russian dictionaries). The spelling with -th (apparently always reflected in the pronunciation) appears to have been transmitted to English by translations from Dutch and German sources (compare quots. 1706 and 1736 at sense A. 1a); but additional influence < behemoth n. (at one time commonly believed to have denoted the elephant), implied by the folk etymology reported in quot. 1736 at sense A. 1a, is possible. Compare French mammouth (1705; also mammon (1765), mammont (1800); 1894 in sense ‘very large’), German Mammut (18th cent.; also †Mammon ), Dutch mammoet (1692 as †mammout , 1704 as mammuth in the passage translated in quot. 1706 at sense A. 1a).",Russian,possibly behemoth;possibly mammoth,1801,1618,Modern English
big,massive,massive,no,large,yes,yes,no,most_relevant,,massive," < Middle French, French massif solid, heavy (1480, compare also Anglo-Norman mascif ; 1701 in architecture: see sense 1e; 1845 in mineralogy: see sense 2b), alteration (after adjectives in -if -ive suffix) of Old French, Middle French massis (c1150; also Anglo-Norman massiz ) < a vulgar Latin derivative of classical Latin massa mass n.2 (also represented by Italian massicio (13th cent.)).",Latin,none,c1425,c1425,Middle English
big,mondo,mondo,no,"as in tremendous, as in big, as in large-scale, as in colossal, as in considerable, as in great, and so on",yes,yes,as in,least_relevant,all separated meanings relate to size,mondo,"Probably of multiple origins. Probably partly a borrowing from Spanish. Probably partly formed within English, by conversion.",uncertain,none,1968,1968,Modern English
big,monster,NA,no,"giant animal, supernatural being",no,no,no,least_relevant,,,,,,,,
big,oversize,NA,yes,"as in baggy, as in tubby, as in big, as in large-scale, as in oversized, as in fat, and so on",yes,yes,no,least_relevant,"all separated meanings relate to size, although some relate to obesity",size,"Old French sise, cise, aphetic forms of assise assize n. probably due to l'assise being apprehended as la sise. Compare medieval Latin sisa, cisa, Middle Dutch sise, sijs, Middle Low German sise, Middle Danish sise, sisæ. The currency of the form in English may have been subsequently increased by assize being taken as a size.",French,sizable;oversize,1909,a1300,Middle English
big,packed,NA,no,full,yes,no,no,least_relevant,,,,,,,,
big,ponderous,NA,no,"heavy, cumbersome",yes,no,yes,least_relevant,"other entry: ""dreary, tedious""",,,,,,,
big,prodigious,prodigy,no,"huge, enormous",yes,yes,yes,least_relevant,"other entry: ""extraordinary, fabulous""",prodigious,"< classical Latin prōdigiōsus of the nature of an omen, portentous, marvellous, unnatural < prōdigium prodigy n. + -ōsus -ous suffix. Compare Middle French, French prodigieux portentous, supernatural (14th cent.), exceptional, monstrous, unexpectedly large (1567), Catalan prodigiós (14th cent.), Spanish prodigioso (mid 16th cent.), Italian prodigioso (a1450).",Latin,none,1601,c1487,Middle English
big,roomy,NA,no,having ample space,yes,no,no,least_relevant,,,,,,,,
big,sizable,NA,no,"considerable, large",yes,yes,no,most_relevant,,sizable,"Old French sise, cise, aphetic forms of assise assize n. probably due to l'assise being apprehended as la sise. Compare medieval Latin sisa, cisa, Middle Dutch sise, sijs, Middle Low German sise, Middle Danish sise, sisæ. The currency of the form in English may have been subsequently increased by assize being taken as a size.",French,sizable;oversize,1613,a1300,Middle English
big,spacious,NA,no,"extensive, expansive",yes,no,no,least_relevant,,,,,,,,
big,strapping,strap,no,big and strong,yes,yes,no,least_relevant,,strop,"Old English strop (once only) = (Middle) Dutch, (Middle) Low German strop , Old High German strupf (masculine) (a derivative of the same meaning is Middle High German, modern German strüpfe (feminine), Low German strippe : see strip n.2), probably a West Germanic adoption of Latin struppus, stroppus, strap, band (? < Greek στρόϕος), whence Old French estrope (modern French estrope, étrope), Provençal estrop-s, Catalan estrop, Portuguese estropo rowlock-strap, Italian stroppa strap, band.",Old English,none,1657,c1050,Old English
big,stuffed,NA,no,crammed,yes,no,no,least_relevant,,,,,,,,
big,substantial,substance,no,"important, ample",yes,yes,yes,most_relevant,"other entries: ""material, real""; ""rich""",substantial,Of multiple origins. Partly a borrowing from French. Partly a borrowing from Latin.,Latin,none,1340,1340,Middle English
big,super colossal,NA,yes,"as in big, as in large-scale, as in enormous, and so on",yes,yes,as in,least_relevant,all separated meanings relate to size,,,,,,,
big,thundering,NA,no,"boom, crash",no,no,yes,least_relevant,"other entry: ""yell at""",,,,,,,
big,tremendous,tremend,no,"huge, overwhelming",yes,yes,no,most_relevant,,tremendous,"< Latin tremendus ‘that is to be trembled at, fearful, dreadful, frightful, terrible’, gerundive of tremĕre to tremble, tremble at: see -ous suffix. The by-form in -uous was shaped after adjectives from Latin adjectives in -uus, as conspicuous.",Latin,none,1813,1632,Modern English
big,vast,vast,no,very large; wide in range,yes,yes,no,most_relevant,,vast,"< Latin vastus void, immense, extensive, etc., or French vaste (1611), Italian vasto, Spanish vasto, Portuguese vasto.",Latin,none,1585,1585,Modern English
big,voluminous,volume,no,"big, vast",yes,yes,no,least_relevant,,volume,"< Old French volum, volume, volumme (French volume, = Italian volume, Portuguese volume, Spanish volumen), < Latin volūmen coil, wreath, roll, etc., < volvĕre to roll. The chief senses of the English word also exist in French.",Latin,none,1612,1382,Middle English
big,walloping,wallop,no,giant,yes,yes,no,least_relevant,,wallop,"< Old Northern French walop (found in 13th cent. in plural walos ) = French galop , related to galoper to gallop: see wallop v. There is nothing to show whether the verb or the noun is the earlier formation in Old French Both were introduced together into Middle English in sense 1, appearing first in the 14th cent.; but in later use in all senses the noun is more often to be regarded as newly formed from the verb in its later applications, and with its onomatopoeic and humorous connotation. The form gallop n. appears first in the 16th cent. and replaces wallop , noun, in the original and more elevated sense, in which, however, wallop v. continues to be evidenced.",French,none,?a1400,a1375,Middle English
big,whooper,NA,no,big lie,no,no,yes,least_relevant,"other entry: ""lie"" (noun)",,,,,,,
big,whopping,whop,no,enormous,yes,yes,no,least_relevant,,wap,"whop is related to ""wap"": Of obscure origin; compare swap v. and whap , whop v.",uncertain,none,a1625,c1440,Middle English
huge,behemontic,behemont,no,"as in mammoth, as in colossal, as in elephantine, as in huge",yes,yes,as in,least_relevant,"links to other entries, but they are all size-related",behemoth,Hebrew,Hebrew,possibly mammoth,1687,a1382,Middle English
huge,bulky,bulk,no,huge,yes,yes,no,least_relevant,,bulk,"Of complicated etymology. The coincidence in meaning with Old Norse *bulki , Icelandic búlki ‘heap, cargo of a ship’ (Vigfusson), Danish bulk lump, clod (compare modern Icelandic búlka-st to be bulky), suggests that the word, though not recorded before 15th cent., may (in the senses ‘heap’, ‘cargo’) be of Scandinavian origin. Within a few years of its first appearance, bulk occurs in the senses ‘belly, trunk of the body’, due apparently to confusion with bouk n., which word it has entirely superseded in literary English. (Compare however, the Flemish bulck ‘thorax’ in Kilian.) The sense of ‘size’ (branch III) seems to have been evolved chiefly from the notion of ‘body’, though it may be partly due to that of ‘heap’ or ‘cargo’. The form boak, used by N. Fairfax 1674 indiscriminately with bulk in the sense of ‘magnitude’, is apparently < Middle English bolk.",probably Scandinavian,none,c1440,c1440,Middle English
huge,colossal,coloss,no,very large,yes,yes,no,most_relevant,,colossal,French,French,none,1664,1664,Modern English
huge,cyclopean,cyclop,no,giant,yes,yes,no,least_relevant,,cyclopean,Latin,Latin,none,1641,1641,Modern English
huge,elephantine,elephant,no,huge,yes,yes,no,least_relevant,,elephantine,via Latin from Greek,Greek,none,1675,1675,Modern English
huge,enormous,enorm,no,very large,yes,yes,no,most_relevant,,enormous,from Latin,Latin,none,a1533,a1533,Middle English
huge,extensive,NA,no,"far-reaching, thorough",yes,no,no,most_relevant,,,,,,,,
huge,gargantuan,gargant,no,very large,yes,yes,no,most_relevant,,gargantua,< the name of Gargantua,French,none,1596,1571,Modern English
huge,giant,giant,no,very large,yes,yes,yes,most_relevant,"entry directs to adjective, but also gives noun (""extremely large person"")",giant,"Middle English geant (afterwards with the first syllable influenced by the Latin form), < Old French géant, jéant, gaiant (modern French géant) < popular Latin *gagantem, corrupted form of classical Latin gigantem (nominative gigās), < Greek γίγαντ-, γίγᾱς.",Greek,gigantic;giant,1480,1297,Middle English
huge,gigantic,gigant,no,very large,yes,yes,no,most_relevant,,gigantic,Latin < Greek,Greek,gigantic;giant,1612,1612,Modern English
huge,great,great,no,very large,yes,yes,yes,most_relevant,"separate entry lists ""important, celebrated"", and another one ""excellent, skillful""",,Germanic,Germanic,none,eOE/OE/lOE/a1200,eOE/OE/lOE/a1200,Old English
huge,gross,gross,no,"large, fat",yes,yes,yes,least_relevant,various other meanings listed,gross,"< French gros, feminine grosse big, thick, coarse (11th cent. in Littré) = Provençal gros, Spanish grueso, Portuguese grosso, Italian grosso < late Latin grossus thick (frequently in the Vulgate). The word has developed in English several senses not found in French.",Latin,none,14../1516,14../1516,Middle English
huge,huge,huge,no,extremely large,yes,yes,no,most_relevant,,huge,"Middle English huge, hoge, apparently aphetic < Old French ahuge, ahoge, ahoege, in same sense, of unknown origin. It is, however, noteworthy that no connecting link in the form of huge in Old French, or ahuge in early Middle English, has as yet been found.",Old French,huge;tremendous,a1275/c1330,a1275/c1330,Middle English
huge,humongous,humong,no,very large,yes,yes,no,most_relevant,,humoungous,"Of uncertain origin: probably a factitious adjective coined on -ous suffix, influenced by hugeous adj., monstrous adj., and perhaps the stress-patterns of stupendous adj., tremendous adj., etc. Humongous, very large (a combination of huge and tremendous).",uncertain,huge;tremendous,1970,1970,Modern English
huge,immeasurable,NA,no,"infinite, incalculable",yes,no,no,least_relevant,,,,,,,,
huge,immense,immense,no,extremely large,yes,yes,no,most_relevant,,immense,"< French immense (1360 in Godefroy) = Italian immenso , Portuguese imenso , Spanish inmenso , < Latin immensus immeasurable, boundless, < im- (im- prefix2) + mensus, past participle of metīrī to measure.",Latin,none,c1450,c1450,Middle English
huge,jumbo,jumbo,no,gigantic,yes,yes,no,least_relevant,,jumbo,"Of uncertain origin: possibly the second element in mumbo-jumbo n., a name applied (in English since the 18th cent.) to a West African divinity or bogy.",uncertain,none,1823,1823,Modern English
huge,leviathan,leviathan,no,"as in mammoth, as in gargantuan, as in huge, a in monster, as in sea serpent, as in behemoth, as in Goliath",yes,yes,as in,least_relevant,various other meanings listed,leviathan," < Latin (Vulgate) leviathan, < Hebrew livyāthān.",Hebrew,none,1625,a1382,Middle English
huge,lusty,NA,no,"energetic, healthy",yes,no,no,least_relevant,,,,,,,,
huge,magnificent,NA,no,"glorious, wonderful",yes,no,no,most_relevant,,,,,,,,
huge,mammoth,mammoth,no,huge,yes,yes,no,most_relevant,,mammoth,"< Russian †mamant (1578 in mamantova kost′ mammoth's bone ; now mamont ), probably < Old Vogul *mēmoŋt earth-horn: compare Vogul mā earth (e.g. in mā-xar ‘earth-stag’, a name for the mammoth) and ou̯tə horn. The absence of -n- from the second syllable, shared by the current forms of the word in most Western European languages, is unexplained (a Russian form mam(m)ut is recorded only in 19th-cent. Russian dictionaries). The spelling with -th (apparently always reflected in the pronunciation) appears to have been transmitted to English by translations from Dutch and German sources (compare quots. 1706 and 1736 at sense A. 1a); but additional influence < behemoth n. (at one time commonly believed to have denoted the elephant), implied by the folk etymology reported in quot. 1736 at sense A. 1a, is possible. Compare French mammouth (1705; also mammon (1765), mammont (1800); 1894 in sense ‘very large’), German Mammut (18th cent.; also †Mammon ), Dutch mammoet (1692 as †mammout , 1704 as mammuth in the passage translated in quot. 1706 at sense A. 1a).",Russian,possibly behemoth;possibly mammoth,1801,1618,Modern English
huge,massive,massive,no,large,yes,yes,no,most_relevant,,massive," < Middle French, French massif solid, heavy (1480, compare also Anglo-Norman mascif ; 1701 in architecture: see sense 1e; 1845 in mineralogy: see sense 2b), alteration (after adjectives in -if -ive suffix) of Old French, Middle French massis (c1150; also Anglo-Norman massiz ) < a vulgar Latin derivative of classical Latin massa mass n.2 (also represented by Italian massicio (13th cent.)).",Latin,none,c1425,c1425,Middle English
huge,mighty,NA,no,"forceful, powerful",yes,no,yes,least_relevant,"separate entry lists ""gigantic, monumental""",,,,,,,
huge,mondo,mondo,no,"as in tremendous, as in big, as in large-scale, as in colossal, as in considerable, as in great, as in huge",yes,yes,as in,least_relevant,"separate entries all relate to size, although the first entry linked to, ""tremendous"" is borderline size-related",mondo,"Probably of multiple origins. Probably partly a borrowing from Spanish. Probably partly formed within English, by conversion.",uncertain,none,1968,1968,Modern English
huge,monster,NA,no,"giant animal, supernatural being",no,no,no,least_relevant,,,,,,,,
huge,monstrous,NA,no,"unnatural, shocking",yes,no,yes,most_relevant,"entry directs to ""unnatural, shocking"" FIRST, second entry has ""very large""",,,,,,,
huge,monumental,NA,no,"impressive, overwhelming",yes,no,no,most_relevant,,,,,,,,
huge,mountainous,mountain,no,hilly; large,yes,yes,no,least_relevant,,mountain,"< Anglo-Norman montain, montaine, mountaine, muntaine, muntaigne, etc., and Old French montaigne, montangne, etc. (early twelfth cent.; Middle French, French montagne ; in figurative sense from mid 17th cent.) < post-classical Latin montanea (feminine) mountain region (12th cent.), use as noun of feminine singular (or perhaps originally of neuter plural) of montaneus of or belonging to mountains (1324 in a British source; conjectured for a text dated 12th cent. or earlier), alteration (after campaneus of or belonging to fields, plains) of classical Latin montānus of or belonging to mountains (with use as noun compare classical Latin montāna , neuter plural, and post-classical Latin montana , feminine singular (Vetus Latina; after ancient Greek ὀρεινή mountain)) < mont- , mōns mount n.1 + -ānus -an suffix.",Latin,none,1598,c1275,Middle English
huge,outsize,NA,yes,"as in obese, as in overweight, as in huge",yes,no,as in,least_relevant,"the first two entries refer to weigh, rather than to size",,,,,,,
huge,oversize,NA,yes,"as in baggy, as in tubby, as in big, as in large-scale, as in oversized, as in fat, as in great, as in huge",yes,no,as in,least_relevant,"several of the meanings relate to size, but the first two don't do so directly; conservatively picked ""No"" for size-related here",size,"Old French sise, cise, aphetic forms of assise assize n. probably due to l'assise being apprehended as la sise. Compare medieval Latin sisa, cisa, Middle Dutch sise, sijs, Middle Low German sise, Middle Danish sise, sisæ. The currency of the form in English may have been subsequently increased by assize being taken as a size.",French,sizable;oversize,1909,a1300,Middle English
huge,planetary,NA,no,pertaining to planets,yes,no,no,least_relevant,,,,,,,,
huge,prodigious,prodigy,no,"huge, enormous",yes,yes,yes,least_relevant,"first meaning listed is size-related, second meaning is ""extraordinary, fabulous""",prodigious,"< classical Latin prōdigiōsus of the nature of an omen, portentous, marvellous, unnatural < prōdigium prodigy n. + -ōsus -ous suffix. Compare Middle French, French prodigieux portentous, supernatural (14th cent.), exceptional, monstrous, unexpectedly large (1567), Catalan prodigiós (14th cent.), Spanish prodigioso (mid 16th cent.), Italian prodigioso (a1450).",Latin,none,1601,c1487,Middle English
huge,stupendous,NA,no,"wonderful, amazing",yes,no,no,least_relevant,,,,,,,,
huge,titanic,titan,no,"gigantic, very large",yes,yes,no,least_relevant,,titan,"< classical Latin Tītān one of the Titans, a race of gods descended from Heaven and Earth, the sun god, Helios (son of the Titan Hyperion), Prometheus (son of the Titan Iapetus), in post-classical Latin also the ancestor of the Titans (4th cent.) < ancient Greek Τιτάν (plural Τιτᾶνες) one of the Titans, a race of gods expelled by Zeus out of heaven, the sun god, Helios, Prometheus.",Greek,none,1628,a1413,Middle English
huge,towering,tower,no,"huge, excessive",yes,yes,no,most_relevant,,tower,"In Old English torr (masculine), < Latin turris; in late Old English and early Middle English tūr, a1300 written tour, < Old French tor, tur (11th cent.), French tour (12th cent.) = Provençal tor, Spanish torre, Portuguese torre, Italian torre < Latin turr-em (-im), accusative of turris feminine ‘tower’. It is doubtful whether the Middle English tor(r was a survival of the Old English form, since Old French had also tor.",Latin,none,1638,c897,Old English
huge,tremendous,tremend,no,"huge, overwhelming",yes,yes,no,most_relevant,,tremendous,"< Latin tremendus ‘that is to be trembled at, fearful, dreadful, frightful, terrible’, gerundive of tremĕre to tremble, tremble at: see -ous suffix. The by-form in -uous was shaped after adjectives from Latin adjectives in -uus, as conspicuous.",Latin,none,1813,1632,Modern English
huge,vast,vast,no,very large; wide in range,yes,yes,no,most_relevant,,vast,"< Latin vastus void, immense, extensive, etc., or French vaste (1611), Italian vasto, Spanish vasto, Portuguese vasto.",Latin,none,1585,1585,Modern English
huge,walloping,wallop,no,giant,yes,yes,no,least_relevant,,wallop,"< Old Northern French walop (found in 13th cent. in plural walos ) = French galop , related to galoper to gallop: see wallop v. There is nothing to show whether the verb or the noun is the earlier formation in Old French Both were introduced together into Middle English in sense 1, appearing first in the 14th cent.; but in later use in all senses the noun is more often to be regarded as newly formed from the verb in its later applications, and with its onomatopoeic and humorous connotation. The form gallop n. appears first in the 16th cent. and replaces wallop , noun, in the original and more elevated sense, in which, however, wallop v. continues to be evidenced.",French,none,?a1400,a1375,Middle English
huge,whopping,whop,no,enormous,yes,yes,no,least_relevant,,wap,"whop is related to ""wap"": Of obscure origin; compare swap v. and whap , whop v.",uncertain,none,a1625,c1440,Middle English
large,ample,NA,no,"more than necessary, sufficient",yes,no,no,least_relevant,,,,,,,,
large,barn door,NA,yes,"as in large, as in colossal, as in enormous, as in immense",yes,no,as in,least_relevant,"this is excluded because of the multi-word criterion, but I also coded this as ""not size-related""",,,,,,,
large,blimp,NA,no,airship,no,yes,no,mid_relevant,,,,,,,,
large,booming,NA,no,flourishing,yes,no,no,least_relevant,,,,,,,,
large,broad,NA,no,wide physically,yes,no,yes,most_relevant,"other entries: ""extensive"", ""full, obvious""; ""liberal-minded""; ""vulgar""; ""a woman"" (noun)",,,,,,,
large,bulky,bulk,no,huge,yes,yes,no,least_relevant,,bulk,"Of complicated etymology. The coincidence in meaning with Old Norse *bulki , Icelandic búlki ‘heap, cargo of a ship’ (Vigfusson), Danish bulk lump, clod (compare modern Icelandic búlka-st to be bulky), suggests that the word, though not recorded before 15th cent., may (in the senses ‘heap’, ‘cargo’) be of Scandinavian origin. Within a few years of its first appearance, bulk occurs in the senses ‘belly, trunk of the body’, due apparently to confusion with bouk n., which word it has entirely superseded in literary English. (Compare however, the Flemish bulck ‘thorax’ in Kilian.) The sense of ‘size’ (branch III) seems to have been evolved chiefly from the notion of ‘body’, though it may be partly due to that of ‘heap’ or ‘cargo’. The form boak, used by N. Fairfax 1674 indiscriminately with bulk in the sense of ‘magnitude’, is apparently < Middle English bolk.",probably Scandinavian,none,c1440,c1440,Middle English
large,capacious,NA,no,"ample, extensive",yes,no,no,least_relevant,,,,,,,,
large,colossal,coloss,no,very large,yes,yes,no,least_relevant,,colossal,French,French,none,1664,1664,Modern English
large,comprehensive,NA,no,inclusive,yes,no,no,mid_relevant,,,,,,,,
large,considerable,consider,no,"abundant, large",yes,yes,yes,most_relevant,"other entry: ""important""",considerable,medieval Latin,medieval Latin,none,c1449,c1449,Middle English
large,copious,NA,no,abundant,yes,no,no,least_relevant,,,,,,,,
large,enormous,enorm,no,very large,yes,yes,no,most_relevant,,enormous,from Latin,Latin,none,a1533,a1533,Middle English
large,excessive,NA,no,too much; overdone,yes,no,no,least_relevant,,,,,,,,
large,exorbitant,NA,no,extravagant; excessive,yes,no,no,least_relevant,,,,,,,,
large,extensive,NA,no,"far-reaching, thorough",yes,no,no,most_relevant,,,,,,,,
large,extravagant,NA,no,"indulgent, wasteful",yes,no,no,least_relevant,,,,,,,,
large,full,NA,no,"brimming, filled",yes,no,yes,most_relevant,"other entries: ""thorough""; ""deep in sound""; ""satiated in hunger""",,,,,,,
large,generous,NA,no,"giving, big-hearted",yes,no,yes,most_relevant,"other entry: ""plentiful""",,,,,,,
large,giant,giant,no,very large,yes,yes,yes,most_relevant,"other entry: ""extremely large person"" (noun)",giant,"Middle English geant (afterwards with the first syllable influenced by the Latin form), < Old French géant, jéant, gaiant (modern French géant) < popular Latin *gagantem, corrupted form of classical Latin gigantem (nominative gigās), < Greek γίγαντ-, γίγᾱς.",Greek,gigantic;giant,1480,1297,Middle English
large,gigantic,gigant,no,very large,yes,yes,no,most_relevant,,gigantic,Latin < Greek,Greek,gigantic;giant,1612,1612,Modern English
large,goodly,good,no,sizable,yes,yes,no,least_relevant,,goodly,Germanic,Germanic,none,OE/a1413/c1385,OE/a1413/c1385,Old English
large,grand,NA,no,"impressive, great",yes,no,no,most_relevant,"other entry: ""most important""; ""great"" in the entry could be taken to be size-related but since a lot of the synonyms refer to things such as ""luxurious"", ""glorious"" and ""awe-inspiring"", a conservative choice was made here",,,,,,,
large,grandiose,NA,no,"theatrical, extravagant",yes,no,no,least_relevant,,,,,,,,
large,great,great,no,very large,yes,yes,yes,most_relevant,"other entries: ""important, celebrated""; ""excellent, skillful""",great,Germanic,Germanic,none,eOE/OE/lOE/a1200,eOE/OE/lOE/a1200,Old English
large,gross,gross,no,"large, fat",yes,yes,yes,least_relevant,,gross,"< French gros, feminine grosse big, thick, coarse (11th cent. in Littré) = Provençal gros, Spanish grueso, Portuguese grosso, Italian grosso < late Latin grossus thick (frequently in the Vulgate). The word has developed in English several senses not found in French.",Latin,none,14../1516,14../1516,Middle English
large,hefty,heft,no,"big, bulky",yes,yes,no,most_relevant,,heft,"A late derivative of heave v.; apparently analogical: compare weave , weft , thieve , theft , etc., also heft past participle = heaved . In sense 1, there was perhaps immediate association with heavy.",Germanic,none,1867,971,Old English
large,huge,huge,no,extremely large,yes,yes,no,most_relevant,,huge,"Middle English huge, hoge, apparently aphetic < Old French ahuge, ahoge, ahoege, in same sense, of unknown origin. It is, however, noteworthy that no connecting link in the form of huge in Old French, or ahuge in early Middle English, has as yet been found.",Old French,huge;tremendous,a1275/c1330,a1275/c1330,Middle English
large,humongous,humong,no,very large,yes,yes,no,least_relevant,,humoungous,"Of uncertain origin: probably a factitious adjective coined on -ous suffix, influenced by hugeous adj., monstrous adj., and perhaps the stress-patterns of stupendous adj., tremendous adj., etc. Humongous, very large (a combination of huge and tremendous).",uncertain,huge;tremendous,1970,1970,Modern English
large,immeasurable,NA,no,"infinite, incalculable",yes,no,no,least_relevant,,,,,,,,
large,immense,immense,no,extremely large,yes,yes,no,most_relevant,,immense,"< French immense (1360 in Godefroy) = Italian immenso , Portuguese imenso , Spanish inmenso , < Latin immensus immeasurable, boundless, < im- (im- prefix2) + mensus, past participle of metīrī to measure.",Latin,none,c1450,c1450,Middle English
